NombreDelPais,Poblacion,Superficie,Continente
China,1412600000,9596960,Asia
India,1428627663,3287263,Asia
Estados Unidos,331000000,9372610,América del Norte
Indonesia,273523615,1904569,Asia
Pakistan,220892340,881913,Asia
Brasil,214326223,8515767,América del Sur
Nigeria,218541212,923768,África
Bangladesh,166303498,147570,Asia
Rusia,144713314,17098242,Europa
Etiopía,120283026,1104300,África
México,130262216,1964375,América del Norte
Japón,125681593,377930,Asia
Filipinas,113964000,300000,Asia
Egipto,102334404,1001449,África
Congo,99010212,2344858,África
Vietnam,97338579,331212,Asia
Irán,85028759,1648195,Asia
Turquía,84339067,783562,Asia
Alemania,83783942,357114,Europa
Tailandia,69799978,513120,Asia
Reino Unido,67886011,242495,Europa
Francia,67391582,551695,Europa
Tanzania,63298550,945087,África
Sudáfrica,60041994,1219090,África
Myanmar,54409800,676578,Asia
Kenia,53771296,580367,África
Argentina,45195774,2780400,América del Sur
Algeria,44616624,2381741,África
Iraq,40222493,438317,Asia
Ucrania,43531422,603550,Europa
Sudan,44909353,1861484,África
Uganda,47123531,241038,África
Canada,38005238,9984670,América del Norte
Polonia,37950802,312679,Europa
Marruecos,37344795,710850,África
Angola,34795287,1246700,África
Uzbekistán,35300000,448978,Asia
Arabia Saudita,35013414,2149690,Asia
Malasia,32776194,329847,Asia
Mozambique,32163047,801590,África
Perú,32971854,1285216,América del Sur
Ghana,32395450,238533,África
Yemen,33696614,527968,Asia
Venezuela,28435943,912050,América del Sur
Nepal,29136808,147181,Asia
Madagascar,27691018,587041,África
Camerún,27914536,475442,África
Costa de Marfil,26378274,322463,África
Corea del Norte,25778816,120538,Asia
Australia,25687041,7692024,Oceanía
Niger,24206636,1267000,África
Sri Lanka,21919000,65610,Asia
Burkina Faso,21510181,274222,África
Mali,22395489,1240192,África
Romania,19186201,238397,Europa
Malawi,19129952,118484,África
Chile,19116201,756102,América del Sur
Kazajistán,18776707,2724900,Asia
Zambia,18383955,752618,África
Guatemala,17109746,108889,América del Norte
Ecuador,17643060,283561,América del Sur
Siria,21324367,185180,Asia
Países Bajos,17134872,41543,Europa
Senegal,17196301,196722,África
Camboya,16718965,181035,Asia
Zimbabwe,15092171,390757,África
Guinea,13132795,245857,África
Rwanda,13461888,26338,África
Benin,12123200,112622,África
Bolivia,11673021,1098581,América del Sur
Túnez,11818619,163610,África
Bélgica,11589623,30528,Europa
Haití,11402528,27750,América del Norte
Cuba,11326616,109884,América del Norte
Jordán,10203134,89342,Asia
Somalia,17065581,637657,África
Suecia,10379295,450295,Europa
República Dominicana,10847910,48671,América del Norte
Tayikistán,9537645,143100,Asia
Austria,9006398,83871,Europa
Honduras,10278345,112492,América del Norte
Azerbaiyán,10139177,86600,Asia
Suiza,8654622,41285,Europa
Papua Nueva Guinea,9119010,462840,Oceanía
Togo,8278724,56785,África
Israel,9216900,20770,Asia
Bulgaria,6519789,110879,Europa
El Salvador,6486205,21041,América del Norte
Serbia,6804596,77474,Europa
Paraguay,7353038,406752,América del Sur
Laos,7379358,236800,Asia
Sierra Leona,7976983,71740,África
Libya,6959000,1759540,África
Nicaragua,6624554,130373,América del Norte
Kirguistán,6591600,199951,Asia
Dinamarca,5831404,42924,Europa
Finlandia,5530719,338424,Europa
Eslovaquia,5459642,49035,Europa
Singapur,5850342,728,Asia
Noruega,5421241,323802,Europa
Costa Rica,5094118,51100,América del Norte
Nueva Zelanda,5084300,270467,Oceanía
Irlanda,4994724,70273,Europa
Croacia,4047200,56594,Europa
Bosnia y Herzegovina,3280819,51197,Europa
Uruguay,3473730,176215,América del Sur
Armenia,2963243,29743,Asia
Lituania,2794090,65300,Europa
Albania,2877797,28748,Europa
Panamá,4351267,75417,América del Norte
